path,loc,username
go,76,MomentoSystems
md,3,MomentoSystems
php,4,MomentoSystems
html,524,Aldengr123
js,27,Aldengr123
md,2,Aldengr123
php,34,Aldengr123
0,12048,Thiagolourenco
0,13,Thiagolourenco
1,3,Thiagolourenco
10,0,Thiagolourenco
11,0,Thiagolourenco
114,1,Thiagolourenco
12,1,Thiagolourenco
16,1,Thiagolourenco
2,6,Thiagolourenco
3,1,Thiagolourenco
4,0,Thiagolourenco
42,2,Thiagolourenco
46,0,Thiagolourenco
5,1,Thiagolourenco
6,1,Thiagolourenco
7,3,Thiagolourenco
8,1,Thiagolourenco
APACHE2,45,Thiagolourenco
BSD,166,Thiagolourenco
DS_Store,0,Thiagolourenco
MIT,72,Thiagolourenco
Procfile,7,Thiagolourenco
ace,42,Thiagolourenco
android/app/BUCK,120,Thiagolourenco
android/gradlew,360,Thiagolourenco
android/keystores/BUCK,8,Thiagolourenco
assign/LICENSE,21,Thiagolourenco
babelrc,15,Thiagolourenco
bat,184,Thiagolourenco
bin/acorn,4,Thiagolourenco
bin/eslint,2,Thiagolourenco
bin/esparse,3,Thiagolourenco
bin/esvalidate,3,Thiagolourenco
bin/mime,2,Thiagolourenco
bin/mkdirp,7,Thiagolourenco
bin/nodemon,1,Thiagolourenco
bin/nodetouch,2,Thiagolourenco
bin/nopt,2,Thiagolourenco
bin/rc,4,Thiagolourenco
bin/rimraf,3,Thiagolourenco
bin/semver,11,Thiagolourenco
bin/sucrase,1,Thiagolourenco
bin/which,3,Thiagolourenco
bnf,80,Thiagolourenco
buckconfig,12,Thiagolourenco
bzl,19,Thiagolourenco
c,197,Thiagolourenco
cc,6845,Thiagolourenco
cpp,5180,Thiagolourenco
css,271,Thiagolourenco
def,1084,Thiagolourenco
edge,9,Thiagolourenco
editorconfig,341,Thiagolourenco
entries/LICENSE,22,Thiagolourenco
error,2,Thiagolourenco
eslintignore,2,Thiagolourenco
eslintrc,424,Thiagolourenco
esprima,57,Thiagolourenco
example,38,Thiagolourenco
exe,0,Thiagolourenco
flow,2407,Thiagolourenco
flowconfig,145,Thiagolourenco
gitattributes,3,Thiagolourenco
gitignore,191,Thiagolourenco
gitkeep,0,Thiagolourenco
gradle,35,Thiagolourenco
gyp,242,Thiagolourenco
h,164236,Thiagolourenco
header,48,Thiagolourenco
html,380,Thiagolourenco
ico,0,Thiagolourenco
ignore,0,Thiagolourenco
info,446,Thiagolourenco
ios/Podfile,53,Thiagolourenco
jar,0,Thiagolourenco
java,147,Thiagolourenco
jpeg,0,Thiagolourenco
jpg,0,Thiagolourenco
js,744150,Thiagolourenco
js/LICENSE,19,Thiagolourenco
jscsrc,26,Thiagolourenco
jshintrc,188,Thiagolourenco
json,86097,Thiagolourenco
jst,3682,Thiagolourenco
keystore,0,Thiagolourenco
lock,16152,Thiagolourenco
log,1451,Thiagolourenco
m,249,Thiagolourenco
map,2336,Thiagolourenco
markdown,1629,Thiagolourenco
md,125179,Thiagolourenco
md~,140,Thiagolourenco
mem,0,Thiagolourenco
mjs,40121,Thiagolourenco
node,0,Thiagolourenco
node_modules/@babel/highlight/LICENSE,44,Thiagolourenco
node_modules/abbrev/LICENSE,46,Thiagolourenco
node_modules/accepts/LICENSE,23,Thiagolourenco
node_modules/acorn/LICENSE,38,Thiagolourenco
node_modules/acorn/bin/acorn,8,Thiagolourenco
node_modules/ajv/LICENSE,44,Thiagolourenco
node_modules/ajv/scripts/info,20,Thiagolourenco
node_modules/anymatch/LICENSE,15,Thiagolourenco
node_modules/aproba/LICENSE,14,Thiagolourenco
node_modules/argparse/LICENSE,42,Thiagolourenco
node_modules/bl/node_modules/isarray/Makefile,6,Thiagolourenco
node_modules/bl/node_modules/string_decoder/LICENSE,48,Thiagolourenco
node_modules/bluebird/LICENSE,21,Thiagolourenco
node_modules/boxen/license,9,Thiagolourenco
node_modules/braces/LICENSE,21,Thiagolourenco
node_modules/buffer/LICENSE,21,Thiagolourenco
node_modules/busboy/LICENSE,38,Thiagolourenco
node_modules/busboy/node_modules/string_decoder/LICENSE,40,Thiagolourenco
node_modules/bytes/LICENSE,23,Thiagolourenco
node_modules/callsites/license,18,Thiagolourenco
node_modules/camelcase/license,21,Thiagolourenco
node_modules/chalk/license,9,Thiagolourenco
node_modules/chardet/LICENSE,38,Thiagolourenco
node_modules/chokidar/LICENSE,21,Thiagolourenco
node_modules/chownr/LICENSE,15,Thiagolourenco
node_modules/color/LICENSE,21,Thiagolourenco
node_modules/commander/LICENSE,22,Thiagolourenco
node_modules/configstore/license,9,Thiagolourenco
node_modules/cookie/LICENSE,24,Thiagolourenco
node_modules/cors/LICENSE,22,Thiagolourenco
node_modules/debug/LICENSE,19,Thiagolourenco
node_modules/debug/Makefile,50,Thiagolourenco
node_modules/delegates/License,20,Thiagolourenco
node_modules/delegates/Makefile,8,Thiagolourenco
node_modules/denque/LICENSE,13,Thiagolourenco
node_modules/depd/LICENSE,22,Thiagolourenco
node_modules/destroy/LICENSE,22,Thiagolourenco
node_modules/dicer/LICENSE,38,Thiagolourenco
node_modules/dicer/node_modules/string_decoder/LICENSE,40,Thiagolourenco
node_modules/dicer/test/fixtures/many/original,64,Thiagolourenco
node_modules/dicer/test/fixtures/many/part1,2,Thiagolourenco
node_modules/dicer/test/fixtures/many/part2,0,Thiagolourenco
node_modules/dicer/test/fixtures/many/part3,0,Thiagolourenco
node_modules/dicer/test/fixtures/many/part4,0,Thiagolourenco
node_modules/dicer/test/fixtures/many/part5,6,Thiagolourenco
node_modules/dicer/test/fixtures/many/part6,0,Thiagolourenco
node_modules/dicer/test/fixtures/many/part7,2,Thiagolourenco
node_modules/dicer/test/fixtures/nested/original,42,Thiagolourenco
node_modules/dicer/test/fixtures/nested/part1,2,Thiagolourenco
node_modules/dicer/test/fixtures/nested/part2,24,Thiagolourenco
node_modules/doctrine/LICENSE,354,Thiagolourenco
node_modules/encodeurl/LICENSE,22,Thiagolourenco
node_modules/eslint/LICENSE,38,Thiagolourenco
node_modules/eslint/node_modules/debug/LICENSE,38,Thiagolourenco
node_modules/eslint/node_modules/semver/LICENSE,30,Thiagolourenco
node_modules/espree/LICENSE,44,Thiagolourenco
node_modules/esprima/ChangeLog,470,Thiagolourenco
node_modules/etag/LICENSE,22,Thiagolourenco
node_modules/execa/license,9,Thiagolourenco
node_modules/express/LICENSE,24,Thiagolourenco
node_modules/figures/license,18,Thiagolourenco
node_modules/finalhandler/LICENSE,22,Thiagolourenco
node_modules/flatted/LICENSE,30,Thiagolourenco
node_modules/forwarded/LICENSE,22,Thiagolourenco
node_modules/fresh/LICENSE,23,Thiagolourenco
node_modules/gauge/LICENSE,13,Thiagolourenco
node_modules/glob/LICENSE,21,Thiagolourenco
node_modules/globals/license,18,Thiagolourenco
node_modules/got/license,21,Thiagolourenco
node_modules/ieee754/LICENSE,11,Thiagolourenco
node_modules/inflight/LICENSE,15,Thiagolourenco
node_modules/inherits/LICENSE,16,Thiagolourenco
node_modules/ini/LICENSE,15,Thiagolourenco
node_modules/inquirer/LICENSE,44,Thiagolourenco
node_modules/inquirer/node_modules/chalk/license,9,Thiagolourenco
node_modules/isarray/Makefile,6,Thiagolourenco
node_modules/isexe/LICENSE,15,Thiagolourenco
node_modules/kareem/LICENSE,202,Thiagolourenco
node_modules/kareem/Makefile,5,Thiagolourenco
node_modules/levn/LICENSE,44,Thiagolourenco
node_modules/lodash/LICENSE,47,Thiagolourenco
node_modules/methods/LICENSE,24,Thiagolourenco
node_modules/mime/LICENSE,21,Thiagolourenco
node_modules/minimatch/LICENSE,15,Thiagolourenco
node_modules/minimist/LICENSE,18,Thiagolourenco
node_modules/minipass/LICENSE,15,Thiagolourenco
node_modules/minizlib/LICENSE,26,Thiagolourenco
node_modules/mkdirp/LICENSE,21,Thiagolourenco
node_modules/mpath/LICENSE,22,Thiagolourenco
node_modules/mpath/Makefile,4,Thiagolourenco
node_modules/mquery/LICENSE,22,Thiagolourenco
node_modules/mquery/Makefile,26,Thiagolourenco
node_modules/mquery/node_modules/debug/LICENSE,19,Thiagolourenco
node_modules/mquery/node_modules/debug/Makefile,58,Thiagolourenco
node_modules/multer/LICENSE,34,Thiagolourenco
node_modules/mz/LICENSE,22,Thiagolourenco
node_modules/negotiator/LICENSE,24,Thiagolourenco
node_modules/nodemon/LICENSE,21,Thiagolourenco
node_modules/nodemon/node_modules/debug/LICENSE,19,Thiagolourenco
node_modules/nopt/LICENSE,23,Thiagolourenco
node_modules/npmlog/LICENSE,15,Thiagolourenco
node_modules/once/LICENSE,15,Thiagolourenco
node_modules/onetime/license,18,Thiagolourenco
node_modules/optionator/LICENSE,44,Thiagolourenco
node_modules/parseurl/LICENSE,24,Thiagolourenco
node_modules/picomatch/LICENSE,21,Thiagolourenco
node_modules/pify/license,9,Thiagolourenco
node_modules/pirates/LICENSE,21,Thiagolourenco
node_modules/progress/LICENSE,44,Thiagolourenco
node_modules/progress/Makefile,16,Thiagolourenco
node_modules/pseudomap/LICENSE,15,Thiagolourenco
node_modules/pump/LICENSE,21,Thiagolourenco
node_modules/qs/LICENSE,28,Thiagolourenco
node_modules/readdirp/LICENSE,21,Thiagolourenco
node_modules/regexpp/LICENSE,42,Thiagolourenco
node_modules/require_optional/LICENSE,201,Thiagolourenco
node_modules/rimraf/LICENSE,30,Thiagolourenco
node_modules/saslprep/LICENSE,22,Thiagolourenco
node_modules/semver/LICENSE,15,Thiagolourenco
node_modules/semver/bin/semver,160,Thiagolourenco
node_modules/send/LICENSE,23,Thiagolourenco
node_modules/setprototypeof/LICENSE,13,Thiagolourenco
node_modules/sharp/LICENSE,191,Thiagolourenco
node_modules/sharp/node_modules/semver/LICENSE,15,Thiagolourenco
node_modules/sharp/vendor/include/vips/vips8,57,Thiagolourenco
node_modules/sliced/LICENSE,22,Thiagolourenco
node_modules/statuses/LICENSE,23,Thiagolourenco
node_modules/streamsearch/LICENSE,38,Thiagolourenco
node_modules/string_decoder/LICENSE,68,Thiagolourenco
node_modules/sucrase/LICENSE,21,Thiagolourenco
node_modules/sucrase/bin/sucrase,3,Thiagolourenco
node_modules/table/LICENSE,48,Thiagolourenco
node_modules/tar/LICENSE,15,Thiagolourenco
node_modules/tar/node_modules/mkdirp/LICENSE,21,Thiagolourenco
node_modules/thenify/LICENSE,22,Thiagolourenco
node_modules/tmp/LICENSE,42,Thiagolourenco
node_modules/toidentifier/LICENSE,21,Thiagolourenco
node_modules/touch/LICENSE,15,Thiagolourenco
node_modules/typedarray/LICENSE,70,Thiagolourenco
node_modules/undefsafe/LICENSE,22,Thiagolourenco
node_modules/unpipe/LICENSE,22,Thiagolourenco
node_modules/vary/LICENSE,22,Thiagolourenco
node_modules/which/LICENSE,15,Thiagolourenco
node_modules/which/bin/which,52,Thiagolourenco
node_modules/wordwrap/LICENSE,18,Thiagolourenco
node_modules/wrappy/LICENSE,15,Thiagolourenco
node_modules/write/LICENSE,42,Thiagolourenco
node_modules/xtend/LICENSE,40,Thiagolourenco
node_modules/yallist/LICENSE,15,Thiagolourenco
